movie,year,rating,runtime,genre,imdbscore,metascore,votes
Patton,1970.0,GP,172.0,"['Biography', 'Drama', 'War']",7.9,91.0,91522.0
Love Story,1970.0,PG,100.0,"['Drama', 'Romance']",6.9,84.0,29013.0
Little Big Man,1970.0,PG-13,139.0,"['Adventure', 'Comedy', 'Drama']",7.6,63.0,31812.0
The Molly Maguires,1970.0,M,124.0,"['Drama', 'History']",6.9,62.0,3183.0
Beyond the Valley of the Dolls,1970.0,NC-17,109.0,"['Comedy', 'Drama', 'Music']",6.2,60.0,9635.0
Two Mules for Sister Sara,1970.0,GP,116.0,"['Adventure', 'Romance', 'War']",7.0,62.0,22751.0
The Conformist,1970.0,R,113.0,['Drama'],8.0,100.0,25423.0
Five Easy Pieces,1970.0,R,98.0,['Drama'],7.5,85.0,31965.0
Le Cercle Rouge,1970.0,Not Rated,140.0,"['Crime', 'Drama', 'Thriller']",8.0,91.0,20937.0
Brewster McCloud,1970.0,R,105.0,"['Comedy', 'Fantasy']",7.0,72.0,4091.0
Investigation of a Citizen Above Suspicion,1970.0,R,115.0,"['Crime', 'Drama']",8.1,89.0,8597.0
Tora! Tora! Tora!,1970.0,G,144.0,"['Action', 'Drama', 'History']",7.5,46.0,30771.0
Hercules in New York,1970.0,G,91.0,"['Adventure', 'Comedy', 'Fantasy']",3.3,23.0,16641.0
A Man Called Horse,1970.0,M,114.0,"['Adventure', 'Drama', 'Western']",6.9,46.0,7854.0
Bloody Mama,1970.0,R,90.0,"['Crime', 'Drama']",5.7,69.0,2851.0
Rio Lobo,1970.0,G,114.0,"['Adventure', 'Romance', 'War']",6.8,55.0,10130.0
The AristoCats,1970.0,G,78.0,"['Animation', 'Adventure', 'Comedy']",7.1,66.0,89657.0
MASH,1970.0,R,116.0,"['Comedy', 'Drama', 'War']",7.5,80.0,65803.0
Airport,1970.0,G,137.0,"['Action', 'Drama', 'Thriller']",6.6,42.0,16819.0
Kelly's Heroes,1970.0,GP,144.0,"['Adventure', 'Comedy', 'War']",7.6,50.0,43717.0
Catch-22,1970.0,R,122.0,"['Comedy', 'Drama', 'War']",7.1,70.0,21314.0
Beneath the Planet of the Apes,1970.0,G,95.0,"['Action', 'Adventure', 'Sci-Fi']",6.1,46.0,40655.0
Patton,1970.0,GP,172.0,"['Biography', 'Drama', 'War']",7.9,91.0,91522.0
Love Story,1970.0,PG,100.0,"['Drama', 'Romance']",6.9,84.0,29013.0
Little Big Man,1970.0,PG-13,139.0,"['Adventure', 'Comedy', 'Drama']",7.6,63.0,31812.0
The Molly Maguires,1970.0,M,124.0,"['Drama', 'History']",6.9,62.0,3183.0
Beyond the Valley of the Dolls,1970.0,NC-17,109.0,"['Comedy', 'Drama', 'Music']",6.2,60.0,9635.0
Two Mules for Sister Sara,1970.0,GP,116.0,"['Adventure', 'Romance', 'War']",7.0,62.0,22751.0
The Conformist,1970.0,R,113.0,['Drama'],8.0,100.0,25423.0
Five Easy Pieces,1970.0,R,98.0,['Drama'],7.5,85.0,31965.0
Le Cercle Rouge,1970.0,Not Rated,140.0,"['Crime', 'Drama', 'Thriller']",8.0,91.0,20937.0
Brewster McCloud,1970.0,R,105.0,"['Comedy', 'Fantasy']",7.0,72.0,4091.0
Investigation of a Citizen Above Suspicion,1970.0,R,115.0,"['Crime', 'Drama']",8.1,89.0,8597.0
Tora! Tora! Tora!,1970.0,G,144.0,"['Action', 'Drama', 'History']",7.5,46.0,30771.0
Hercules in New York,1970.0,G,91.0,"['Adventure', 'Comedy', 'Fantasy']",3.3,23.0,16641.0
A Man Called Horse,1970.0,M,114.0,"['Adventure', 'Drama', 'Western']",6.9,46.0,7854.0
Bloody Mama,1970.0,R,90.0,"['Crime', 'Drama']",5.7,69.0,2851.0
Rio Lobo,1970.0,G,114.0,"['Adventure', 'Romance', 'War']",6.8,55.0,10130.0
The AristoCats,1970.0,G,78.0,"['Animation', 'Adventure', 'Comedy']",7.1,66.0,89657.0
MASH,1970.0,R,116.0,"['Comedy', 'Drama', 'War']",7.5,80.0,65803.0
Airport,1970.0,G,137.0,"['Action', 'Drama', 'Thriller']",6.6,42.0,16819.0
Kelly's Heroes,1970.0,GP,144.0,"['Adventure', 'Comedy', 'War']",7.6,50.0,43717.0
Catch-22,1970.0,R,122.0,"['Comedy', 'Drama', 'War']",7.1,70.0,21314.0
Beneath the Planet of the Apes,1970.0,G,95.0,"['Action', 'Adventure', 'Sci-Fi']",6.1,46.0,40655.0
Patton,1970.0,GP,172.0,"['Biography', 'Drama', 'War']",7.9,91.0,91522.0
Love Story,1970.0,PG,100.0,"['Drama', 'Romance']",6.9,84.0,29013.0
Little Big Man,1970.0,PG-13,139.0,"['Adventure', 'Comedy', 'Drama']",7.6,63.0,31812.0
The Molly Maguires,1970.0,M,124.0,"['Drama', 'History']",6.9,62.0,3183.0
Beyond the Valley of the Dolls,1970.0,NC-17,109.0,"['Comedy', 'Drama', 'Music']",6.2,60.0,9635.0
Two Mules for Sister Sara,1970.0,GP,116.0,"['Adventure', 'Romance', 'War']",7.0,62.0,22751.0
The Conformist,1970.0,R,113.0,['Drama'],8.0,100.0,25423.0
Five Easy Pieces,1970.0,R,98.0,['Drama'],7.5,85.0,31965.0
Le Cercle Rouge,1970.0,Not Rated,140.0,"['Crime', 'Drama', 'Thriller']",8.0,91.0,20937.0
Brewster McCloud,1970.0,R,105.0,"['Comedy', 'Fantasy']",7.0,72.0,4091.0
Investigation of a Citizen Above Suspicion,1970.0,R,115.0,"['Crime', 'Drama']",8.1,89.0,8597.0
Tora! Tora! Tora!,1970.0,G,144.0,"['Action', 'Drama', 'History']",7.5,46.0,30771.0
Hercules in New York,1970.0,G,91.0,"['Adventure', 'Comedy', 'Fantasy']",3.3,23.0,16641.0
A Man Called Horse,1970.0,M,114.0,"['Adventure', 'Drama', 'Western']",6.9,46.0,7854.0
Bloody Mama,1970.0,R,90.0,"['Crime', 'Drama']",5.7,69.0,2851.0
A Clockwork Orange,1971.0,R,136.0,"['Crime', 'Drama', 'Sci-Fi']",8.3,80.0,730874.0
Willy Wonka & the Chocolate Factory,1971.0,G,100.0,"['Family', 'Fantasy', 'Musical']",7.8,67.0,171215.0
Diamonds Are Forever,1971.0,PG,120.0,"['Action', 'Adventure', 'Thriller']",6.6,59.0,92118.0
The Omega Man,1971.0,PG,98.0,"['Action', 'Drama', 'Sci-Fi']",6.5,56.0,28028.0
The Last Picture Show,1971.0,R,118.0,"['Drama', 'Romance']",8.0,93.0,40435.0
Dirty Harry,1971.0,R,102.0,"['Action', 'Crime', 'Thriller']",7.7,90.0,138764.0
The French Connection,1971.0,R,104.0,"['Action', 'Crime', 'Drama']",7.7,94.0,105550.0
Bedknobs and Broomsticks,1971.0,G,117.0,"['Animation', 'Adventure', 'Comedy']",7.1,59.0,32909.0
Le Mans,1971.0,Approved,106.0,"['Action', 'Adventure', 'Drama']",6.8,52.0,8736.0
Straw Dogs,1971.0,R,113.0,"['Crime', 'Drama', 'Thriller']",7.5,73.0,54639.0
Harold and Maude,1971.0,PG,91.0,"['Comedy', 'Drama', 'Romance']",7.9,62.0,68513.0
Fiddler on the Roof,1971.0,G,181.0,"['Drama', 'Family', 'Musical']",8.0,67.0,37508.0
The Devils,1971.0,R,111.0,"['Biography', 'Drama', 'History']",7.8,49.0,12875.0
"Duck, You Sucker",1971.0,PG,138.0,"['Drama', 'War', 'Western']",7.7,77.0,28530.0
The Andromeda Strain,1971.0,G,131.0,"['Mystery', 'Sci-Fi', 'Thriller']",7.2,60.0,32535.0
THX 1138,1971.0,R,86.0,"['Drama', 'Sci-Fi', 'Thriller']",6.7,75.0,46602.0
Walkabout,1971.0,GP,100.0,"['Adventure', 'Drama']",7.6,85.0,21974.0
Big Jake,1971.0,GP,110.0,['Western'],7.2,57.0,10760.0
Vanishing Point,1971.0,R,99.0,"['Action', 'Crime', 'Thriller']",7.2,61.0,25822.0
Play Misty for Me,1971.0,R,102.0,"['Drama', 'Thriller']",7.0,78.0,24516.0
The Beguiled,1971.0,R,105.0,"['Drama', 'Thriller', 'War']",7.2,66.0,15142.0
Kidnapped,1971.0,G,100.0,"['Adventure', 'Drama']",6.2,55.0,1085.0
The House That Dripped Blood,1971.0,PG,102.0,['Horror'],6.6,55.0,4979.0
Klute,1971.0,R,114.0,"['Crime', 'Mystery', 'Thriller']",7.1,81.0,21127.0
Carnal Knowledge,1971.0,R,98.0,['Drama'],7.0,77.0,10970.0
Escape from the Planet of the Apes,1971.0,G,98.0,"['Action', 'Sci-Fi']",6.3,69.0,30988.0
Shaft,1971.0,R,100.0,"['Action', 'Crime', 'Thriller']",6.6,66.0,16081.0
The Panic in Needle Park,1971.0,PG,110.0,['Drama'],7.1,74.0,15413.0
Wake in Fright,1971.0,R,109.0,"['Drama', 'Thriller']",7.7,85.0,9602.0
Billy Jack,1971.0,GP,114.0,"['Action', 'Drama', 'Western']",6.3,50.0,5378.0
McCabe & Mrs. Miller,1971.0,R,120.0,"['Drama', 'Western']",7.7,93.0,21064.0
Johnny Got His Gun,1971.0,R,111.0,"['Drama', 'War']",7.9,71.0,15075.0
Two-Lane Blacktop,1971.0,R,102.0,['Drama'],7.2,89.0,10840.0
Bananas,1971.0,PG-13,82.0,['Comedy'],7.0,67.0,33023.0
The Hospital,1971.0,PG-13,103.0,"['Comedy', 'Drama', 'Mystery']",7.2,72.0,5323.0
Lawman,1971.0,R,99.0,"['Adventure', 'Western']",7.0,52.0,3992.0
"Mary, Queen of Scots",1971.0,PG-13,128.0,"['Biography', 'Drama', 'History']",7.2,53.0,3819.0
The Cat o' Nine Tails,1971.0,GP,112.0,"['Horror', 'Mystery', 'Thriller']",6.7,63.0,9313.0
Willard,1971.0,GP,95.0,['Horror'],6.2,49.0,3589.0
The Million Dollar Duck,1971.0,G,89.0,"['Comedy', 'Family', 'Sci-Fi']",5.9,45.0,1901.0
Sweet Sweetback's Baadasssss Song,1971.0,R,97.0,"['Action', 'Crime', 'Drama']",5.5,71.0,4396.0
"Out 1, noli me tangere",1971.0,Not Rated,729.0,"['Drama', 'Mystery']",7.8,87.0,1073.0
Born to Win,1971.0,R,88.0,"['Comedy', 'Crime', 'Drama']",5.6,55.0,1497.0
The Barefoot Executive,1971.0,G,96.0,"['Family', 'Comedy']",6.0,55.0,1624.0
Skin Game,1971.0,PG,102.0,"['Comedy', 'Romance', 'Western']",7.0,73.0,1434.0
There's Always Vanilla,1971.0,R,93.0,"['Comedy', 'Drama', 'Romance']",5.1,48.0,539.0
The Godfather,1972.0,R,175.0,"['Crime', 'Drama']",9.2,100.0,1547609.0
Deliverance,1972.0,R,109.0,"['Adventure', 'Drama', 'Thriller']",7.7,80.0,95474.0
The Last House on the Left,1972.0,R,84.0,"['Horror', 'Thriller']",6.0,68.0,31248.0
Last Tango in Paris,1972.0,NC-17,129.0,"['Drama', 'Romance']",7.0,77.0,47910.0
Solaris,1972.0,PG,167.0,"['Drama', 'Mystery', 'Sci-Fi']",8.1,90.0,76368.0
The Poseidon Adventure,1972.0,PG,117.0,"['Action', 'Adventure', 'Drama']",7.1,70.0,39518.0
The Cowboys,1972.0,GP,134.0,"['Adventure', 'Drama', 'Western']",7.4,52.0,12634.0
Cabaret,1972.0,PG,124.0,"['Drama', 'Musical']",7.8,80.0,46437.0
The Getaway,1972.0,PG,123.0,"['Action', 'Crime', 'Thriller']",7.4,55.0,26830.0
The Discreet Charm of the Bourgeoisie,1972.0,PG,102.0,['Comedy'],7.9,93.0,36418.0
Frenzy,1972.0,R,116.0,['Thriller'],7.4,91.0,39539.0
Joe Kidd,1972.0,PG,88.0,['Western'],6.5,52.0,16042.0
Pink Flamingos,1972.0,NC-17,93.0,"['Comedy', 'Crime']",6.1,47.0,21199.0
The Way of the Dragon,1972.0,R,90.0,"['Action', 'Adventure', 'Crime']",7.3,58.0,30584.0
Jeremiah Johnson,1972.0,GP,108.0,"['Adventure', 'Drama', 'Western']",7.6,75.0,27438.0
Fist of Fury,1972.0,R,107.0,"['Action', 'Drama', 'Romance']",7.4,68.0,24924.0
The Mechanic,1972.0,PG,100.0,"['Action', 'Crime', 'Thriller']",6.9,51.0,12012.0
Fritz the Cat,1972.0,Unrated,78.0,"['Animation', 'Comedy', 'Drama']",6.3,54.0,10889.0
Slaughterhouse-Five,1972.0,R,104.0,"['Comedy', 'Drama', 'Sci-Fi']",6.9,66.0,11801.0
A Cop,1972.0,PG,98.0,"['Crime', 'Thriller']",7.1,72.0,7587.0
Boxcar Bertha,1972.0,R,88.0,"['Crime', 'Drama', 'Romance']",6.0,61.0,8150.0
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,1972.0,R,88.0,['Comedy'],6.8,66.0,37199.0
Conquest of the Planet of the Apes,1972.0,PG,88.0,"['Action', 'Sci-Fi']",6.1,49.0,29238.0
Horror Express,1972.0,R,88.0,"['Horror', 'Sci-Fi']",6.5,68.0,8622.0
Frogs,1972.0,PG,91.0,"['Horror', 'Mystery', 'Sci-Fi']",4.4,51.0,5618.0
Super Fly,1972.0,R,91.0,"['Action', 'Crime', 'Drama']",6.5,67.0,6276.0
"Play It Again, Sam",1972.0,PG,85.0,"['Comedy', 'Romance']",7.6,77.0,23906.0
Season of the Witch,1972.0,R,130.0,['Drama'],5.5,40.0,2349.0
Night of the Lepus,1972.0,PG,88.0,"['Horror', 'Sci-Fi', 'Thriller']",4.2,37.0,4052.0
Sounder,1972.0,G,105.0,"['Drama', 'Family']",7.5,80.0,3376.0
American Graffiti,1973.0,PG,110.0,"['Comedy', 'Drama']",7.4,97.0,78754.0
The Exorcist,1973.0,R,122.0,['Horror'],8.0,81.0,350486.0
Papillon,1973.0,R,151.0,"['Biography', 'Crime', 'Drama']",8.0,58.0,118023.0
Soylent Green,1973.0,PG,97.0,"['Crime', 'Mystery', 'Sci-Fi']",7.1,66.0,55255.0
The Wicker Man,1973.0,R,88.0,"['Horror', 'Mystery', 'Thriller']",7.5,87.0,65678.0
High Plains Drifter,1973.0,R,105.0,"['Drama', 'Mystery', 'Western']",7.5,69.0,47912.0
Westworld,1973.0,PG,88.0,"['Action', 'Sci-Fi', 'Thriller']",7.0,77.0,49894.0
The Sting,1973.0,PG,129.0,"['Comedy', 'Crime', 'Drama']",8.3,83.0,233073.0
Serpico,1973.0,R,130.0,"['Biography', 'Crime', 'Drama']",7.7,87.0,104416.0
Robin Hood,1973.0,G,83.0,"['Animation', 'Adventure', 'Comedy']",7.6,57.0,111143.0
Walking Tall,1973.0,R,125.0,"['Action', 'Biography', 'Crime']",7.0,60.0,4813.0
Mean Streets,1973.0,R,112.0,"['Crime', 'Drama', 'Thriller']",7.3,96.0,94653.0
Live and Let Die,1973.0,PG,121.0,"['Action', 'Adventure', 'Thriller']",6.8,55.0,93213.0
Enter the Dragon,1973.0,R,102.0,"['Action', 'Crime', 'Drama']",7.7,83.0,93039.0
The Long Goodbye,1973.0,R,112.0,"['Comedy', 'Crime', 'Drama']",7.6,87.0,24522.0
My Name Is Nobody,1973.0,PG,116.0,"['Comedy', 'Western']",7.5,68.0,22341.0
Paper Moon,1973.0,PG,102.0,"['Comedy', 'Drama']",8.1,77.0,40548.0
Badlands,1973.0,PG,94.0,"['Crime', 'Drama']",7.8,93.0,62757.0
White Lightning,1973.0,PG,101.0,"['Action', 'Drama', 'Crime']",6.4,60.0,3864.0
Magnum Force,1973.0,R,124.0,"['Action', 'Crime', 'Mystery']",7.2,58.0,53984.0
The Day of the Jackal,1973.0,PG,143.0,"['Crime', 'Drama', 'Thriller']",7.8,80.0,35986.0
The Way We Were,1973.0,PG,118.0,"['Drama', 'Romance']",7.1,61.0,21432.0
Jesus Christ Superstar,1973.0,G,106.0,"['Drama', 'History', 'Musical']",7.4,64.0,24474.0
The Last Detail,1973.0,R,104.0,"['Comedy', 'Drama']",7.5,89.0,21247.0
The Golden Voyage of Sinbad,1973.0,G,105.0,"['Action', 'Adventure', 'Fantasy']",6.8,69.0,7900.0
Lemora: A Child's Tale of the Supernatural,1973.0,PG,80.0,"['Fantasy', 'Horror', 'Thriller']",6.3,49.0,1921.0
Scarecrow,1973.0,R,112.0,['Drama'],7.3,72.0,14798.0
Pat Garrett & Billy the Kid,1973.0,R,122.0,"['Biography', 'Drama', 'Western']",7.3,53.0,17415.0
The Spirit of the Beehive,1973.0,Not Rated,98.0,"['Drama', 'Fantasy']",7.9,87.0,16025.0
The Crazies,1973.0,R,103.0,"['Action', 'Horror', 'Sci-Fi']",6.1,63.0,10733.0
Lady Snowblood,1973.0,Not Rated,97.0,"['Action', 'Drama', 'Thriller']",7.7,80.0,11573.0
Sleeper,1973.0,PG,89.0,"['Comedy', 'Sci-Fi']",7.2,77.0,38915.0
Battle for the Planet of the Apes,1973.0,G,93.0,"['Action', 'Sci-Fi']",5.5,40.0,28012.0
Breezy,1973.0,R,106.0,"['Drama', 'Romance']",7.0,68.0,4117.0
Belladonna of Sadness,1973.0,Unrated,86.0,"['Animation', 'Drama', 'Fantasy']",7.4,70.0,3647.0
The Paper Chase,1973.0,PG,113.0,"['Comedy', 'Drama']",7.2,65.0,6910.0
Bang the Drum Slowly,1973.0,PG,96.0,"['Drama', 'Sport']",6.9,80.0,5187.0
The Last American Hero,1973.0,PG,95.0,"['Drama', 'Sport']",6.4,74.0,1436.0
The Godfather: Part II,1974.0,R,202.0,"['Crime', 'Drama']",9.0,90.0,1081950.0
Blazing Saddles,1974.0,R,93.0,"['Comedy', 'Western']",7.7,73.0,121614.0
The Man with the Golden Gun,1974.0,PG,125.0,"['Action', 'Adventure', 'Thriller']",6.8,43.0,92042.0
Chinatown,1974.0,R,130.0,"['Drama', 'Mystery', 'Thriller']",8.2,92.0,282246.0
Young Frankenstein,1974.0,PG,106.0,['Comedy'],8.0,80.0,138790.0
The Conversation,1974.0,PG,113.0,"['Drama', 'Mystery', 'Thriller']",7.8,85.0,93751.0
The Texas Chain Saw Massacre,1974.0,R,83.0,['Horror'],7.5,75.0,130147.0
Murder on the Orient Express,1974.0,PG,128.0,"['Crime', 'Drama', 'Mystery']",7.3,63.0,53168.0
The Terminal Man,1974.0,PG,107.0,"['Horror', 'Sci-Fi', 'Thriller']",5.7,41.0,1927.0
Death Wish,1974.0,R,93.0,"['Action', 'Crime', 'Drama']",7.0,51.0,34164.0
The Lords of Flatbush,1974.0,PG,86.0,"['Comedy', 'Drama', 'Romance']",5.8,53.0,3426.0
The Towering Inferno,1974.0,PG,165.0,"['Action', 'Drama', 'Thriller']",7.0,69.0,37734.0
Zardoz,1974.0,R,105.0,"['Adventure', 'Fantasy', 'Sci-Fi']",5.9,46.0,18532.0
The Longest Yard,1974.0,R,121.0,"['Comedy', 'Crime', 'Drama']",7.1,61.0,16408.0
The Taking of Pelham One Two Three,1974.0,R,104.0,"['Action', 'Crime', 'Thriller']",7.7,68.0,25279.0
The Land That Time Forgot,1974.0,PG,91.0,"['Adventure', 'Fantasy']",5.7,50.0,5285.0
The Great Gatsby,1974.0,PG,144.0,"['Drama', 'Romance']",6.4,43.0,22859.0
Airport 1975,1974.0,PG,107.0,"['Action', 'Drama', 'Thriller']",5.7,50.0,9213.0
A Woman Under the Influence,1974.0,R,155.0,"['Drama', 'Romance']",8.2,88.0,19997.0
Thunderbolt and Lightfoot,1974.0,R,115.0,"['Comedy', 'Crime', 'Drama']",7.1,62.0,21371.0
Phantom of the Paradise,1974.0,PG,91.0,"['Comedy', 'Drama', 'Fantasy']",7.4,67.0,15870.0
Dark Star,1974.0,G,83.0,"['Comedy', 'Sci-Fi']",6.3,66.0,21375.0
Alice Doesn't Live Here Anymore,1974.0,PG,112.0,"['Drama', 'Romance']",7.3,78.0,20504.0
Black Christmas,1974.0,R,98.0,"['Horror', 'Mystery', 'Thriller']",7.2,65.0,31002.0
California Split,1974.0,R,108.0,"['Comedy', 'Drama']",7.2,84.0,4923.0
The Sugarland Express,1974.0,PG,110.0,"['Crime', 'Drama']",6.8,65.0,14784.0
Earthquake,1974.0,PG,122.0,"['Action', 'Drama', 'Thriller']",5.9,56.0,13224.0
Foxy Brown,1974.0,R,92.0,"['Action', 'Crime', 'Thriller']",6.5,46.0,8630.0
The Parallax View,1974.0,R,102.0,"['Drama', 'Thriller']",7.1,65.0,14451.0
Lenny,1974.0,R,111.0,"['Biography', 'Drama']",7.6,61.0,13917.0
Caged Heat,1974.0,R,83.0,"['Action', 'Comedy', 'Drama']",5.3,67.0,2106.0
Gone in 60 Seconds,1974.0,PG,105.0,"['Action', 'Crime', 'Drama']",6.5,56.0,8032.0
Mr. Majestyk,1974.0,PG,103.0,"['Action', 'Crime', 'Drama']",6.8,55.0,7234.0
Where the Red Fern Grows,1974.0,G,97.0,"['Drama', 'Family']",6.9,49.0,2894.0
It's Alive,1974.0,PG,91.0,['Horror'],5.8,72.0,6585.0
Herbie Rides Again,1974.0,G,88.0,"['Comedy', 'Family', 'Fantasy']",5.7,49.0,7094.0
Benji,1974.0,G,86.0,"['Adventure', 'Family', 'Romance']",6.1,35.0,4265.0
Dirty Mary Crazy Larry,1974.0,PG,93.0,"['Action', 'Crime', 'Thriller']",6.7,52.0,6000.0
The Gambler,1974.0,R,111.0,"['Crime', 'Drama']",7.2,65.0,3782.0
Thieves Like Us,1974.0,R,123.0,"['Crime', 'Drama', 'Romance']",7.0,82.0,4062.0
Lancelot of the Lake,1974.0,Unrated,85.0,"['Drama', 'Fantasy', 'Romance']",7.0,74.0,3268.0
Jaws,1975.0,PG,124.0,"['Adventure', 'Thriller']",8.0,87.0,529053.0
One Flew Over the Cuckoo's Nest,1975.0,R,133.0,['Drama'],8.7,83.0,880161.0
Monty Python and the Holy Grail,1975.0,PG,91.0,"['Adventure', 'Comedy', 'Fantasy']",8.2,93.0,485998.0
The Rocky Horror Picture Show,1975.0,R,100.0,"['Comedy', 'Musical']",7.4,58.0,127458.0
Barry Lyndon,1975.0,PG,185.0,"['Adventure', 'Drama', 'History']",8.1,89.0,142524.0
Dog Day Afternoon,1975.0,R,125.0,"['Biography', 'Crime', 'Drama']",8.0,86.0,228043.0
Three Days of the Condor,1975.0,R,117.0,"['Mystery', 'Thriller']",7.4,63.0,45903.0
The Return of the Pink Panther,1975.0,G,113.0,"['Comedy', 'Crime', 'Mystery']",7.1,61.0,24130.0
Escape to Witch Mountain,1975.0,G,97.0,"['Adventure', 'Family', 'Fantasy']",6.4,60.0,8891.0
Picnic at Hanging Rock,1975.0,PG,115.0,"['Drama', 'Mystery']",7.5,81.0,32220.0
Hustle,1975.0,R,120.0,"['Crime', 'Drama', 'Mystery']",6.1,77.0,2053.0
